trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	block_ID	response_hand	phase_length	last_frame	reaction_time	key_duration	offset_delay	onset_delay_timing	offset_delay_timing	button_response	onset_abs	duration
0	1.1608100000303239	stim	0		0	break	break	0.0	preferred_right	1.0	0.0							10.780839300015941	-2.3376678000204265
0	-1.1768577999901026	break	0	space	0	break	break	0.0	preferred_right	1.0	0.0		0.09581440000329167					8.443171499995515	2.32795919990167
0	1.1511013999115676	break	0	t	599	break	break	0.0	preferred_right	1.0	0.0		0.09601830004248768					10.771130699897185	10.048477600095794
11	11.199579000007361	stim	0		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							20.81960829999298	0.06681480002589524
11	11.266393800033256	stim	1		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							20.886423100018874	0.0670232999837026
11	11.333417100016959	stim	2		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							20.953446400002576	0.06650119996629655
11	11.399918299983256	stim	3		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							21.019947599968873	0.06700189993716776
11	11.466920199920423	stim	4		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							21.08694949990604	0.06756730005145073
11	11.534487499971874	stim	5		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							21.15451679995749	0.06704390002414584
11	11.60153139999602	stim	6		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							21.221560699981637	0.06723980000242591
11	11.668771199998446	stim	7		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							21.288800499984063	0.08286099997349083
11	11.751632199971937	stim	8		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							21.371661499957554	0.06714629998896271
11	11.8187784999609	stim	9		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							21.438807799946517	0.06692560005467385
11	11.885704100015573	stim	10		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							21.50573340000119	0.066431799903512
11	11.952135899919085	stim	11		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							21.572165199904703	0.06706440006382763
11	12.019200299982913	stim	12		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							21.63922959996853	0.06668549997266382
11	12.085885799955577	stim	13		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							21.705915099941194	0.06664990005083382
11	12.15253570000641	stim	14		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							21.772564999992028	0.06703259993810207
11	12.219568299944513	stim	15		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							21.83959759993013	0.06685850000940263
11	12.286426799953915	stim	16		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							21.906456099939533	0.0671792000066489
11	12.353605999960564	stim	17		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							21.97363529994618	0.06685850000940263
11	12.420464499969967	stim	18		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							22.040493799955584	0.06715799996163696
11	12.487622499931604	stim	19		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							22.10765179991722	0.06627790001221001
11	12.553900399943814	stim	20		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							22.17392969992943	0.06669420003890991
11	12.620594599982724	stim	21		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							22.24062389996834	0.06667029997333884
11	12.687264899956062	stim	22		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							22.30729419994168	0.06700629997067153
11	12.754271199926734	stim	23		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							22.37430049991235	0.06709410005714744
11	12.821365299983881	stim	24		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							22.4413945999695	0.067494299961254
11	12.888859599945135	stim	25		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							22.508888899930753	0.06650010007433593
11	12.955359700019471	stim	26		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							22.57538900000509	0.06647299998439848
11	13.02183270000387	stim	27		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							22.641861999989487	0.06719919992610812
11	13.089031899929978	stim	28		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							22.709061199915595	0.06630430009681731
11	13.155336200026795	stim	29		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							22.775365500012413	0.066899299970828
11	13.222235499997623	stim	30		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							22.84226479998324	0.06738409993704408
11	13.289619599934667	stim	31		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							22.909648899920285	0.08373960002791137
11	13.373359199962579	stim	32		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							22.993388499948196	0.067094000056386
11	13.440453200018965	stim	33		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							23.060482500004582	0.06707180000375956
11	13.507525000022724	stim	34		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							23.12755430000834	0.0663333999691531
11	13.573858399991877	stim	35		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							23.193887699977495	0.06698330002836883
11	13.640841700020246	stim	36		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							23.260871000005864	0.06721849995665252
11	13.708060199976899	stim	37		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							23.328089499962516	0.066762899979949
11	13.774823099956848	stim	38		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							23.394852399942465	0.06734619999770075
11	13.842169299954548	stim	39		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							23.462198599940166	0.06686660007108003
11	13.909035900025629	stim	40		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							23.529065200011246	0.06671569996979088
11	13.97575159999542	stim	41		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							23.595780899981037	0.06659900001250207
11	14.042350600007921	stim	42		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							23.66237989999354	0.06682099995668977
11	14.109171599964611	stim	43		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							23.72920089995023	0.0668629000429064
11	14.176034500007518	stim	44		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							23.796063799993135	0.06707909994293004
11	14.243113599950448	stim	45		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							23.863142899936065	0.0665525000076741
11	14.309666099958122	stim	46		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							23.92969539994374	0.06668260006699711
11	14.376348700025119	stim	47		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							23.996378000010736	0.06678929994814098
11	14.44313799997326	stim	48		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							24.063167299958877	0.0669307999778539
11	14.510068799951114	stim	49		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							24.13009809993673	0.06683020002674311
11	14.576898999977857	stim	50		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							24.196928299963474	0.067228400032036
11	14.644127400009893	stim	51		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							24.26415669999551	0.06659760000184178
11	14.710725000011735	stim	52		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							24.330754299997352	0.06672459992114455
11	14.77744959993288	stim	53		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							24.397478899918497	0.06667490000836551
11	14.844124499941245	stim	54		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							24.464153799926862	0.06702760001644492
11	14.91115209995769	stim	55		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							24.531181399943307	0.06693299999460578
11	14.978085099952295	stim	56		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							24.598114399937913	0.06690249999519438
11	15.04498759994749	stim	57		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							24.665016899933107	0.06680720008444041
11	15.11179480003193	stim	58		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							24.731824100017548	0.0699508999241516
11	15.181745699956082	stim	59		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							24.8017749999417	0.06622410006821156
11	15.247969800024293	stim	60		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							24.86799910000991	0.06667899992316961
11	15.314648799947463	stim	61		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							24.93467809993308	0.0666348000522703
11	15.381283599999733	stim	62		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							25.00131289998535	0.06675460003316402
11	15.448038200032897	stim	63		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							25.068067500018515	0.06677809997927397
11	15.514816300012171	stim	64		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							25.13484559999779	0.06648549996316433
11	15.581301799975336	stim	65		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							25.201331099960953	0.06712460005655885
11	15.648426400031894	stim	66		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							25.268455700017512	0.06644609989598393
11	15.714872499927878	stim	67		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							25.334901799913496	0.06647560000419617
11	15.781348099932075	stim	68		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							25.401377399917692	0.06700859998818487
11	15.84835669992026	stim	69		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							25.468385999905877	0.06711350008845329
11	15.915470200008713	stim	70		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							25.53549949999433	0.06660269992426038
11	15.982072899932973	stim	71		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							25.60210219991859	0.06667379999998957
11	16.048746699932963	stim	72		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							25.66877599991858	0.06679429998621345
11	16.115540999919176	stim	73		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							25.735570299904794	0.06678500003181398
11	16.18232599995099	stim	74		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							25.802355299936607	0.06671929999720305
11	16.249045299948193	stim	75		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							25.86907459993381	0.06722359999548644
11	16.31626889994368	stim	76		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							25.936298199929297	0.0664850000757724
11	16.382753900019452	stim	77		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							26.00278320000507	0.06683209992479533
11	16.449585999944247	stim	78		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							26.069615299929865	0.066751700011082
11	16.51633769995533	stim	79		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							26.136366999940947	0.06681800005026162
11	16.58315570000559	stim	80		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							26.20318499999121	0.06668429996352643
11	16.649839999969117	stim	81		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							26.269869299954735	0.06735410005785525
11	16.717194100026973	stim	82		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							26.33722340001259	0.06719949992839247
11	16.784393599955365	stim	83		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							26.404422899940982	0.0666765000205487
11	16.851070099975914	stim	84		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							26.47109939996153	0.06729379994794726
11	16.91836389992386	stim	85		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							26.53839319990948	0.06646680005360395
11	16.984830699977465	stim	86		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							26.604859999963082	0.06665379996411502
11	17.05148449994158	stim	87		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							26.671513799927197	0.06666230002883822
11	17.118146799970418	stim	88		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							26.738176099956036	0.0667074000230059
11	17.184854199993424	stim	89		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							26.80488349997904	0.06706569995731115
11	17.251919899950735	stim	90		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							26.871949199936353	0.06686600006651133
11	17.318785900017247	stim	91		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							26.938815200002864	0.06662910000886768
11	17.385415000026114	stim	92		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							27.00544430001173	0.06707729992922395
11	17.45249229995534	stim	93		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							27.072521599940956	0.06709050002973527
11	17.519582799985074	stim	94		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							27.13961209997069	0.06667369999922812
11	17.5862564999843	stim	95		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							27.20628579996992	0.0669381000334397
11	17.65319460001774	stim	96		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							27.27322390000336	0.06668980000540614
11	17.719884400023147	stim	97		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							27.339913700008765	0.06667659990489483
11	17.786560999928042	stim	98		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							27.40659029991366	0.06664990005083382
11	17.853210899978876	stim	99		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							27.473240199964494	0.06700389995239675
11	17.920214799931273	stim	100		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							27.54024409991689	0.06650640000589192
11	17.986721199937165	stim	101		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							27.606750499922782	0.06666190002579242
11	18.053383099962957	stim	102		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							27.673412399948575	0.06680709996726364
11	18.12019019993022	stim	103		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							27.74021949991584	0.06739980005659163
11	18.187589999986812	stim	104		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							27.80761929997243	0.06623080000281334
11	18.253820799989626	stim	105		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							27.873850099975243	0.06665669998619705
11	18.320477499975823	stim	106		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							27.94050679996144	0.0666874999878928
11	18.387164999963716	stim	107		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							28.007194299949333	0.06666560005396605
11	18.45383060001768	stim	108		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							28.0738599000033	0.06674889998976141
11	18.520579500007443	stim	109		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							28.14060879999306	0.06674859998747706
11	18.58732809999492	stim	110		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							28.207357399980538	0.06664309999905527
11	18.653971199993975	stim	111		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							28.274000499979593	0.06707520002964884
11	18.721046400023624	stim	112		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							28.34107570000924	0.06703949999064207
11	18.788085900014266	stim	113		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							28.408115199999884	0.066693399916403
11	18.85477929993067	stim	114		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							28.474808599916287	0.066821200074628
11	18.921600500005297	stim	115		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							28.541629799990915	0.06694379996042699
11	18.988544299965724	stim	116		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							28.60857359995134	0.06661980005446821
11	19.055164100020193	stim	117		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							28.67519340000581	0.06668009993154556
11	19.121844199951738	stim	118		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							28.741873499937356	0.06715860008262098
