trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	response_hand	phase_duration	key_duration	onset_abs	duration
1	0.019013599958270788	stim	0		0	ambiguous	ambiguous	preferred	2.0		13.082829399965703	3.479765300056897
1	3.498778900015168	ambiguous	0	space	0					0.09499520005192608	16.5625947000226	8.292986700078472
1	11.79176560009364	ambiguous	0	space	0					0.10072729992680252	24.855581400101073	0.5151090999133885
1	12.306874700007029	ambiguous	0	j	116					0.32273790007457137	25.37069050001446	-10.301037600031123
1	2.0058370999759063	stim	1		0	ambiguous	ambiguous	preferred	2.0		15.069652899983339	12.283923100098036
1	14.289760200073943	ambiguous	1	j	0					0.5339296999154612	27.353576000081375	0.6855593000072986
1	14.975319500081241	ambiguous	1	f	0					0.38110729993786663	28.039135300088674	0.6573772999690846
1	15.632696800050326	ambiguous	1	j	0					0.12154029996600002	28.69651260005776	1.332121800049208
1	16.964818600099534	ambiguous	1	f	299					0.20599940000101924	30.028634400106966	-9.962458900059573
2	7.00235970003996	stim	0		119	unambiguous	left	preferred	2.0		20.066175500047393	1.9956310000270605
2	8.997990700067021	stim	1		0	unambiguous	left	preferred	2.0		22.061806500074454	12.22843090002425
2	21.22642160009127	left	1	j	0					0.6892251999815926	34.290237400098704	0.9696472999639809
2	22.196068900055252	left	1	f	136					0.4335527999792248	35.259884700062685	-10.8738122000359
3	11.322256700019352	stim	0		0	unambiguous	right	preferred	2.0		24.386072500026785	11.92559830006212
3	23.247855000081472	right	0	j	118					0.23732660000678152	36.311670800088905	-9.935077600064687
3	13.312777400016785	stim	1		0	unambiguous	right	preferred	2.0		26.376593200024217	12.200171699980274
3	25.51294909999706	right	1	f	0					0.5758893000893295	38.57676490000449	0.7526198000414297
3	26.265568900038488	right	1	j	141					0.4770306999562308	39.32938470004592	-10.564513700082898
4	15.70105519995559	stim	0		0	unambiguous	left	preferred	2.0		28.764870999963023	11.292362500098534
4	26.993417700054124	left	0	f	118					0.6023642999352887	40.05723350006156	-9.302555500064045
4	17.69086219999008	stim	1		19	unambiguous	left	preferred	2.0		30.75467799999751	2.4705804999684915
